"title","location","date"
"SureChEMBL2.0: Evolving a Database for Annotated Patents","CADD GRC 2025","14/07/2025"
"SureChEMBL2.0:  A Patent Database with Chemical, Disease, and Protein Annotations", "ISCB UK", "22/04/2026"

